Category: All categories

Region,Candida auris: (1/1/04 - 3/9/22)
New Jersey,100
New York,93
New Hampshire,87
Illinois,86
Maryland,86
Maine,84
Oregon,84
Indiana,75
Vermont,71
Connecticut,71
Delaware,70
Arkansas,68
West Virginia,68
Montana,67
Florida,66
Louisiana,64
Massachusetts,64
Iowa,64
Missouri,64
Kentucky,60
Washington,59
New Mexico,58
Kansas,57
Rhode Island,56
North Dakota,55
Nevada,55
Oklahoma,55
Minnesota,55
Tennessee,54
Texas,54
Pennsylvania,54
Arizona,53
California,53
Wisconsin,53
Ohio,51
Mississippi,49
Georgia,48
Utah,46
Nebraska,46
North Carolina,45
Michigan,45
South Dakota,44
Alabama,43
Colorado,42
Alaska,42
Virginia,42
South Carolina,41
Hawaii,39
District of Columbia,36
Wyoming,33
Idaho,29
