Category: All categories

Region,Candida auris: (3/9/21 - 3/9/22)
Oregon,100
Louisiana,42
Maine,41
Indiana,37
Montana,36
Maryland,36
District of Columbia,35
Kentucky,34
Texas,32
California,29
Washington,29
West Virginia,29
Florida,28
New Jersey,28
Vermont,28
Idaho,25
Arkansas,25
Virginia,22
Pennsylvania,22
New York,21
Delaware,20
Minnesota,19
Arizona,19
Illinois,19
Tennessee,18
Massachusetts,18
Kansas,18
Missouri,17
Mississippi,16
Oklahoma,16
Ohio,15
Nevada,15
Alaska,15
Hawaii,15
North Carolina,15
Connecticut,15
Rhode Island,15
Michigan,14
New Hampshire,14
Wisconsin,14
Georgia,12
Alabama,11
Colorado,11
New Mexico,11
Iowa,10
Utah,10
Wyoming,9
North Dakota,6
South Carolina,6
Nebraska,4
South Dakota,
