Category: All categories

Region,candida auris: (3/3/21 - 3/3/22)
Oregon,100
Louisiana,41
Indiana,39
Maine,38
Maryland,37
Texas,33
District of Columbia,33
Montana,32
Kentucky,32
California,31
Washington,30
West Virginia,29
Florida,29
New Jersey,29
Vermont,28
Idaho,26
Arkansas,23
Virginia,23
Pennsylvania,23
New York,22
Delaware,21
Minnesota,21
Arizona,19
Illinois,19
Massachusetts,19
Hawaii,18
Missouri,18
Kansas,18
Tennessee,18
Mississippi,17
Ohio,16
Oklahoma,16
Nevada,16
Alaska,15
Rhode Island,15
North Carolina,15
Connecticut,15
Michigan,15
New Hampshire,15
Wisconsin,14
Alabama,13
Georgia,13
Colorado,11
New Mexico,11
Iowa,11
Utah,10
Wyoming,9
North Dakota,6
South Carolina,6
Nebraska,4
South Dakota,
