Category: All categories

Week,Candida auris: (United States)
2021-03-14,8
2021-03-21,7
2021-03-28,6
2021-04-04,9
2021-04-11,8
2021-04-18,6
2021-04-25,7
2021-05-02,8
2021-05-09,6
2021-05-16,9
2021-05-23,10
2021-05-30,7
2021-06-06,5
2021-06-13,8
2021-06-20,6
2021-06-27,6
2021-07-04,4
2021-07-11,6
2021-07-18,100
2021-07-25,88
2021-08-01,15
2021-08-08,8
2021-08-15,10
2021-08-22,7
2021-08-29,6
2021-09-05,8
2021-09-12,7
2021-09-19,9
2021-09-26,6
2021-10-03,6
2021-10-10,4
2021-10-17,7
2021-10-24,5
2021-10-31,6
2021-11-07,7
2021-11-14,8
2021-11-21,6
2021-11-28,5
2021-12-05,7
2021-12-12,7
2021-12-19,7
2021-12-26,44
2022-01-02,9
2022-01-09,10
2022-01-16,22
2022-01-23,11
2022-01-30,6
2022-02-06,6
2022-02-13,9
2022-02-20,6
2022-02-27,4
2022-03-06,3
