Category: All categories
"candida auris: (3/3/21 - 3/3/22, United States)"

TOP
candida auris symptoms,100
candida auris fungus,52
what is candida auris,42
candida auris superbug,32
candida auris treatment,27
cdc candida auris,24
superbug fungus candida auris,24
superbug fungus,24
candida albicans,18
candida auris outbreak,17
candida auris skin pictures,15
candida auris 2021,13
symptoms of candida auris,13
what is candida auris symptoms,11
candidiasis,7
what is candida auris infection,7
candida auris transmission,6
candida auris outbreak 2021,4
candida auris death rate,4
how is candida auris spread,4
candida auris symptoms in lungs,3

RISING
candida auris outbreak 2021,Breakout
superbug fungus candida auris,"+3,750%"
superbug fungus,"+3,750%"
candida auris death rate,+550%
candida auris skin pictures,+500%
what is candida auris symptoms,+500%
candida auris 2021,+350%
candida auris symptoms in lungs,+170%
how is candida auris spread,+110%
candida auris fungus,+60%
what is candida auris infection,+60%
candida auris symptoms,+50%
candida auris outbreak,+40%

