Category: All categories

Region,superbug fungus candida auris: (3/3/17 - 3/3/22)
New York,100
North Carolina,68
Texas,64
Virginia,51
New Jersey,49
Florida,44
Pennsylvania,38
California,35
Ohio,21
Georgia,21
Vermont,
North Dakota,
Alabama,
Arkansas,
Idaho,
Oregon,
New Mexico,
Kansas,
Massachusetts,
Minnesota,
Louisiana,
Connecticut,
Missouri,
Wisconsin,
Indiana,
Alaska,
Arizona,
Colorado,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Illinois,
Kentucky,
Maryland,
Maine,
Michigan,
Mississippi,
Montana,
Nebraska,
New Hampshire,
Nevada,
Oklahoma,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Washington,
West Virginia,
Wyoming,
