#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Candida auris",,"""B12301"",""SRS3280386""",,"PDT000585542.1","2019-09-13T14:30:10Z","Colombia: Bogota","Meal table","environmental/other","PDS000050697.4",1,8,"SAMN09111931",,,
"Candida auris",,"""B11800"",""SRS3280382""",,"PDT000585543.1","2019-09-13T14:30:10Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",1,27,"SAMN09111958",,,
"Candida auris",,"""B12302"",""SRS3280384""",,"PDT000585544.1","2019-09-13T14:30:10Z","Colombia: Bogota","Chair","environmental/other","PDS000050697.4",0,7,"SAMN09111930",,,
"Candida auris",,"""B11799"",""SRS3280383""",,"PDT000585545.1","2019-09-13T14:30:10Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",31,35,"SAMN09111959",,,
"Candida auris",,"""B12317"",""SRS3280381""",,"PDT000585546.1","2019-09-13T14:30:10Z","Colombia: Cartagena","Floor","environmental/other","PDS000050697.4",0,5,"SAMN09111916",,,
"Candida auris",,"""B12294"",""SRS3280380""",,"PDT000585547.1","2019-09-13T14:30:11Z","Colombia: Bogota","Cell phone","environmental/other","PDS000050697.4",0,2,"SAMN09111938",,,
"Candida auris",,"""B12310"",""SRS3280378""",,"PDT000585548.1","2019-09-13T14:30:11Z","Colombia: Bogota","Sink","environmental/other","PDS000050697.4",1,0,"SAMN09111922",,,
"Candida auris",,"""B11777"",""SRS3280379""",,"PDT000585549.1","2019-09-13T14:30:11Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",3,6,"SAMN09111976",,,
"Candida auris",,"""B11852"",""SRS3280375""",,"PDT000585550.1","2019-09-13T14:30:11Z","Colombia: Bogota","blood","clinical","PDS000050697.4",3,5,"SAMN09111946",,,
"Candida auris",,"""B12299"",""SRS3280376""",,"PDT000585551.1","2019-09-13T14:30:11Z","Colombia: Bogota","Mop","environmental/other","PDS000050697.4",0,7,"SAMN09111933",,,
"Candida auris",,"""B12338"",""SRS3280374""",,"PDT000585552.1","2019-09-13T14:30:12Z","Colombia: Barranquilla","Rectum","clinical","PDS000050697.4",1,9,"SAMN09111896",,,
"Candida auris",,"""B11787"",""SRS3280373""",,"PDT000585553.1","2019-09-13T14:30:12Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",5,26,"SAMN09111968",,,
"Candida auris",,"""B12306"",""SRS3280372""",,"PDT000585554.1","2019-09-13T14:30:12Z","Colombia: Bogota","Closet","environmental/other","PDS000050697.4",1,1,"SAMN09111926",,,
"Candida auris",,"""B12323"",""SRS3280371""",,"PDT000585555.1","2019-09-13T14:30:12Z","Colombia: Cartagena","Mattress","environmental/other","PDS000050697.4",0,0,"SAMN09111910",,,
"Candida auris",,"""B11797"",""SRS3280370""",,"PDT000585556.1","2019-09-13T14:30:12Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",4,25,"SAMN09111960",,,
"Candida auris",,"""B11806"",""SRS3280369""",,"PDT000585557.1","2019-09-13T14:30:12Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",5,10,"SAMN09111955",,,
"Candida auris",,"""B12291"",""SRS3280368""",,"PDT000585558.1","2019-09-13T14:30:13Z","Colombia: Bogota","Night table","environmental/other","PDS000050697.4",6,8,"SAMN09111941",,,
"Candida auris",,"""B12332"",""SRS3280367""",,"PDT000585560.1","2019-09-13T14:30:13Z","Colombia: Barranquilla","Right ear","clinical","PDS000050697.4",3,10,"SAMN09111901",,,
"Candida auris",,"""B12311"",""SRS3280365""",,"PDT000585561.1","2019-09-13T14:30:13Z","Colombia: Bogota","Door","environmental/other","PDS000050697.4",1,1,"SAMN09111921",,,
"Candida auris",,"""B11785"",""SRS3280364""",,"PDT000585562.1","2019-09-13T14:30:13Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",6,9,"SAMN09111969",,,
"Candida auris",,"""B12305"",""SRS3280363""",,"PDT000585563.1","2019-09-13T14:30:13Z","Colombia: Bogota","Wheelchair","environmental/other","PDS000050697.4",0,0,"SAMN09111927",,,
"Candida auris",,"""B12327"",""SRS3280362""",,"PDT000585564.1","2019-09-13T14:30:14Z","Colombia: Cartagena","Left armpit","clinical","PDS000050697.4",1,1,"SAMN09111906",,,
"Candida auris",,"""B12309"",""SRS3280361""",,"PDT000585565.1","2019-09-13T14:30:14Z","Colombia: Bogota","Nurse shoes","environmental/other","PDS000050697.4",3,5,"SAMN09111923",,,
"Candida auris",,"""B12295"",""SRS3280360""",,"PDT000585566.1","2019-09-13T14:30:14Z","Colombia: Bogota","Bedpan","environmental/other","PDS000050697.4",0,2,"SAMN09111937",,,
"Candida auris",,"""B12331"",""SRS3280359""",,"PDT000585567.1","2019-09-13T14:30:14Z","Colombia: Cartagena","Hands","clinical","PDS000050697.4",0,0,"SAMN09111902",,,
"Candida auris",,"""B12328"",""SRS3280358""",,"PDT000585568.1","2019-09-13T14:30:14Z","Colombia: Cartagena","Right armpit","clinical","PDS000050697.4",0,0,"SAMN09111905",,,
"Candida auris",,"""B12336"",""SRS3280357""",,"PDT000585569.1","2019-09-13T14:30:14Z","Colombia: Barranquilla","Left nostril","clinical","PDS000050697.4",0,8,"SAMN09111898",,,
